id_detection,decision,n_votes,accord
pisc_18e2b36d32ca,non,2,1.00
pisc_18eff31ab9a8,non,2,1.00
pisc_19685dcfd936,non,2,1.00
pisc_19b4c13ed45a,oui,2,1.00
pisc_19bf300250fb,non,2,1.00
pisc_19cf3ea8fdf6,non,2,1.00
pisc_1a078f7485ee,oui,2,1.00
pisc_1a37b8a3d764,non,2,1.00
pisc_1a4a5cf18886,non,2,1.00
pisc_1a6369f11ab3,non,2,1.00
pisc_1a636f198ede,non,2,1.00
pisc_1abc17a08ff5,non,2,1.00
pisc_1ae7576ac9cf,oui,2,1.00
pisc_1b18f2b17cd9,oui,2,1.00
pisc_1b2159f33dcf,non,2,1.00
pisc_1bbb97ee8ef5,oui,2,1.00
pisc_1bc0c905a51f,non,2,1.00
pisc_1c48a1eef76b,oui,2,1.00
pisc_1c71fb3efe41,non,2,1.00
pisc_1de3eaf2aea0,non,2,1.00
pisc_1de68fa31736,non,2,1.00
pisc_1e0785ea5090,non,2,1.00
pisc_1e57032e489d,non,2,1.00
pisc_1ea7764af69a,non,2,1.00
pisc_1eacdfde2dfe,non,2,1.00
pisc_1f2a728f8aa4,non,2,1.00
pisc_1f3aeda4d45f,non,2,1.00
pisc_1f5aba962cb3,oui,2,1.00
pisc_1fa5dafaaf95,non,2,1.00
pisc_1fc1a2638de7,non,2,1.00
pisc_1fe067d21a6c,oui,2,1.00
pisc_207a0881698d,non,2,1.00
pisc_20bb215d6b6b,non,2,1.00
pisc_20bc2a524e0a,oui,2,1.00
pisc_20ddca87d39a,non,2,1.00
pisc_2105bc6abc38,non,2,1.00
pisc_21bb8a304050,non,2,1.00
pisc_21d28ad08bfd,non,2,1.00
pisc_2205d858e8b6,non,2,1.00
pisc_2253c6ed86fe,non,2,1.00
pisc_2269aa330595,oui,2,1.00
pisc_22b912dcbc8c,non,2,1.00
pisc_22ebfc7a1b59,non,2,1.00
pisc_231b96319e67,non,2,1.00
pisc_231be304fe59,non,2,1.00
pisc_232dc3103457,non,2,1.00
pisc_234014be36b1,non,2,1.00
pisc_2352eff9b934,oui,2,1.00
pisc_2380dd6dcc68,non,2,1.00
pisc_23fd12fad034,non,2,1.00
pisc_246039fde1a4,non,2,1.00
pisc_246f2262d281,non,2,1.00
pisc_247cc37d3c9a,non,2,1.00
pisc_247d2ba19d54,oui,2,1.00
pisc_24c2466ae073,non,2,1.00
pisc_24e33498f093,oui,2,1.00
pisc_25131737d218,non,2,1.00
pisc_255cad3e54f9,oui,2,1.00
pisc_2568cd1e0f87,non,2,1.00
pisc_256e1915f89e,non,2,1.00
pisc_2582e62188c9,non,2,1.00
pisc_262f9560f0da,oui,2,1.00
pisc_2657327fbc5e,non,2,1.00
pisc_26b2be4e1746,non,2,1.00
pisc_26bc01e5ee6b,non,2,1.00
pisc_27f439a5c503,non,2,1.00
pisc_284dcb0f4afd,non,2,1.00
pisc_287aeb126929,oui,2,1.00
pisc_287cd1c3c0fb,oui,2,1.00
pisc_288377439310,non,2,1.00
pisc_28a663825258,oui,2,1.00
pisc_28cc24c43a7d,non,2,1.00
pisc_28f327b3094a,non,2,1.00
pisc_29dd20ad7647,non,2,1.00
pisc_29ffc53e18be,non,2,1.00
pisc_2a2f3a168450,oui,2,1.00
pisc_2a32f65e91a6,non,2,1.00
pisc_2aea73c38d5a,non,2,1.00
pisc_2b1c0aeea420,non,2,1.00
pisc_2b2ff9a591da,non,2,1.00
pisc_2b5548ada4f6,oui,2,1.00
pisc_2b9f3058dc06,oui,2,1.00
pisc_2ba61c8992df,oui,2,1.00
pisc_2c1f0593402d,non,2,1.00
pisc_2c3cb7e6947d,non,2,1.00
pisc_2c5cdac13eba,non,2,1.00
pisc_2cfd7002f24f,oui,2,1.00
pisc_2cfd7d750712,non,2,1.00
pisc_2d00b5d5683a,non,2,1.00
pisc_2d645a7f0023,non,2,1.00
pisc_2d7a7479e7aa,non,2,1.00
pisc_2dc198d0d81c,oui,2,1.00
pisc_2dc89667c50e,non,2,1.00
pisc_2dfd76ff8b19,non,2,1.00
pisc_2e7178a2a287,non,2,1.00
pisc_2e7c1cc7b7ff,non,2,1.00
pisc_2ebeffdb2659,oui,2,1.00
pisc_2f1cb7380c4a,non,2,1.00
pisc_2f1d8e902987,non,2,1.00
pisc_2f52e1d5aa07,non,2,1.00
pisc_2f62d493c17c,non,2,1.00
pisc_2f741f0bc69a,non,2,1.00
pisc_3010036e470e,non,2,1.00
pisc_301b6a11f426,non,2,1.00
pisc_302acd76078a,oui,2,1.00
pisc_306031401f37,non,2,1.00
pisc_307a2d968fea,incertain,2,0.50
pisc_30ea67de27e7,non,2,1.00
pisc_31058d6e1d73,non,2,1.00
pisc_310eaca96a23,non,2,1.00
pisc_3132381594df,non,2,1.00
pisc_317c90b5439e,oui,2,1.00
pisc_31e2159f42b8,non,2,1.00
pisc_31ef78536a24,incertain,2,0.50
pisc_3223320cd49a,non,2,1.00
pisc_32455e9361b6,non,2,1.00
pisc_3283772b5f0c,incertain,2,0.50
pisc_3361fb1a5835,non,2,1.00
pisc_3430ccfa528a,non,2,1.00
pisc_344b6f1e1b01,non,2,1.00
pisc_34ba58009c83,non,2,1.00
pisc_35046c43b49c,oui,2,1.00
pisc_35057c14039d,non,2,1.00
pisc_354dc4d2f8f5,oui,2,1.00
pisc_35e1396e7ce0,oui,2,1.00
pisc_3638470e2f04,non,2,1.00
pisc_36dec82c7a7d,non,2,1.00
pisc_37552fda7474,non,2,1.00
pisc_375cbfb99a00,oui,2,1.00
pisc_37c684da0130,non,2,1.00
pisc_3840615e6c34,non,2,1.00
pisc_386b96aaa6e4,non,2,1.00
pisc_387da7c79f4b,oui,2,1.00
pisc_38c4217bc2ac,non,2,1.00
pisc_38dc27f1a40b,non,2,1.00
pisc_38ec7cec31ac,non,2,1.00
pisc_3921243368f6,non,2,1.00
pisc_398417852425,non,2,1.00
pisc_3994a1535aab,non,2,1.00
pisc_39c905a5b5b7,non,2,1.00
pisc_3a760560a68d,non,2,1.00
pisc_3a85ed73da4c,non,2,1.00
pisc_3bee871866ab,non,2,1.00
pisc_3bfa0d268abf,oui,2,1.00
pisc_3d1fcd34eb23,non,2,1.00
pisc_3d5ea2534f31,oui,2,1.00
pisc_3d97dcaa7eee,oui,2,1.00
pisc_3dc9a7efdee0,oui,2,1.00
pisc_3e327dbb4ca7,non,2,1.00
pisc_3e8137bed44d,non,2,1.00
pisc_3f7ff0a4e5dc,non,2,1.00
pisc_40374a6b8d2c,oui,2,1.00
pisc_403ff2fee59d,non,2,1.00
pisc_4059d0f5f27e,non,2,1.00
pisc_40b09754453d,non,2,1.00
pisc_40d545de278f,non,2,1.00
pisc_4126769f8412,incertain,2,0.50
pisc_41567143b8ab,non,2,1.00
pisc_41772f76cc80,oui,2,1.00
pisc_42347081b649,non,2,1.00
pisc_427327ac032f,non,2,1.00
pisc_42a932bff6bc,non,2,1.00
pisc_432bbf3d78e0,oui,2,1.00
pisc_434a449e06b0,non,2,1.00
pisc_4384c7c90768,non,2,1.00
pisc_442d0e09a36e,non,2,1.00
pisc_449f838cbead,non,2,1.00
pisc_44b8ce8a04b9,non,2,1.00
pisc_44da3d1eed12,oui,2,1.00
pisc_4565c083835a,non,2,1.00
pisc_467b4ffea2f8,oui,2,1.00
pisc_46d682299efc,non,2,1.00
pisc_4719b77d029c,non,2,1.00
pisc_47508af4ad07,oui,2,1.00
pisc_4776d973b326,non,2,1.00
pisc_47a2e0d55688,oui,2,1.00
pisc_47ddee480ee4,oui,2,1.00
pisc_47f7866722e8,oui,2,1.00
pisc_480584b04323,non,2,1.00
pisc_4904a6240521,oui,2,1.00
pisc_49131b3dfde2,non,2,1.00
pisc_4956384a75fd,non,2,1.00
pisc_497da66fba95,non,2,1.00
pisc_49a6c87a0d97,oui,2,1.00
pisc_49d74de837bb,non,2,1.00
pisc_49de0219c47c,non,2,1.00
pisc_49f39c799ec8,non,2,1.00
pisc_4a24a47ba37d,non,2,1.00
pisc_4a6537c8a8a3,non,2,1.00
pisc_4ba1f1c6f995,incertain,2,0.50
pisc_4bc964963fba,non,2,1.00
pisc_4c3767b66f90,non,2,1.00
pisc_4cf07f209b4f,non,2,1.00
pisc_4d149ee932c7,non,2,1.00
pisc_4d2cc5d27664,oui,2,1.00
pisc_4d391457d20f,oui,2,1.00
pisc_4d55d5084557,non,2,1.00
pisc_4d7bfbb733d1,oui,2,1.00
pisc_4d91e6eb9bc8,non,2,1.00
pisc_4df228efda2d,non,2,1.00
pisc_4df9b4c4b2e9,non,2,1.00
pisc_4e00df258fea,non,2,1.00
pisc_4e10ae22b44b,non,2,1.00
pisc_4f28ac827872,non,2,1.00
pisc_4fddaec12239,non,2,1.00
pisc_4fe8fe69f17e,non,2,1.00
pisc_50018e765679,non,2,1.00
pisc_5024576d0401,non,2,1.00
pisc_5072ad88931f,non,2,1.00
pisc_50a7b8ddf267,non,2,1.00
pisc_50e9c2b093a0,oui,2,1.00
pisc_50ec87590b3f,non,2,1.00
pisc_50f9b1c24904,oui,2,1.00
pisc_5143998a71c0,non,2,1.00
pisc_517fd14d34df,non,2,1.00
pisc_51a973fd7bb3,non,2,1.00
pisc_52192689d3cb,oui,2,1.00
pisc_5231b9dad388,non,2,1.00
pisc_52bf38cc0161,oui,2,1.00
pisc_52ced15dcc6a,non,2,1.00
pisc_52e0e5fffa43,non,2,1.00
pisc_53008d518e61,non,2,1.00
pisc_5356b4cb2280,non,2,1.00
pisc_5362d49d92d9,non,2,1.00
pisc_53e838267a9c,non,2,1.00
pisc_53ff807439d8,non,2,1.00
pisc_5476f85b1a8d,oui,2,1.00
pisc_552a430a691b,non,2,1.00
pisc_553a08264ff9,non,2,1.00
pisc_5556e87bf9bf,oui,2,1.00
pisc_5593772d6bfa,non,2,1.00
pisc_55b010ad8d7e,non,2,1.00
pisc_55e37348a6bb,oui,2,1.00
pisc_55f1527e26c2,non,2,1.00
pisc_55fbc5d45086,non,2,1.00
pisc_564c9779f30d,oui,2,1.00
pisc_566518ef965f,non,2,1.00
pisc_56dcf4a796c2,oui,2,1.00
pisc_56f943b61e7b,non,2,1.00
pisc_57031620b20e,non,2,1.00
pisc_5726539c5d2c,oui,2,1.00
pisc_578c24e2a287,non,2,1.00
pisc_57a67d7547be,non,2,1.00
pisc_57dd67ef6f9d,non,2,1.00
pisc_57faddc1216c,oui,2,1.00
pisc_5806bfbf52cf,non,2,1.00
pisc_580a2d20a614,oui,2,1.00
pisc_580f1ad8e0c9,oui,2,1.00
pisc_58a95bf9bc6d,non,2,1.00
pisc_58cf9ba3809a,non,2,1.00
pisc_58cfe5e4e4d2,non,2,1.00
pisc_59134d5e4ad3,non,2,1.00
pisc_59243eaf777d,non,2,1.00
pisc_593e18816c39,non,2,1.00
pisc_59ac90aba907,non,2,1.00
pisc_59eb92a71131,non,2,1.00
pisc_5a84dadad522,non,2,1.00
pisc_5aa2a6ceeadf,non,2,1.00
pisc_5abcb9626fcb,non,2,1.00
pisc_5b57c10508a9,non,2,1.00
pisc_5ba72751dc92,oui,2,1.00
pisc_5c40fba89e79,non,2,1.00
pisc_5c79431182ee,non,2,1.00
pisc_5cf284efe9b7,non,2,1.00
pisc_5d01bfac0072,oui,2,1.00
pisc_5dca9210c558,non,2,1.00
pisc_5e194de18357,oui,2,1.00
pisc_5eb0ba040984,non,2,1.00
pisc_5f896e841c26,non,2,1.00
pisc_5fa7e9d62aaf,oui,2,1.00
pisc_5fab3e29bc76,oui,2,1.00
pisc_5fbc03eaa560,non,2,1.00
pisc_603c733734c3,non,2,1.00
pisc_6049838728b4,non,2,1.00
pisc_605b8474d7e8,oui,2,1.00
pisc_607025d4dbcb,non,2,1.00
pisc_60c50c131163,oui,2,1.00
pisc_60ed558fc219,oui,2,1.00
pisc_610af2be4fc1,non,2,1.00
pisc_61249f4718e5,non,2,1.00
pisc_617069a63a07,non,2,1.00
pisc_61a94dee6fc2,non,2,1.00
pisc_61fc3fdf4a07,non,2,1.00
pisc_61fffc2d2f55,non,2,1.00
pisc_6222438a03a9,non,2,1.00
pisc_622add51b4e9,non,2,1.00
pisc_628755d20586,non,2,1.00
pisc_6288598d0b69,non,2,1.00
pisc_6296f31d069d,non,2,1.00
pisc_62d30e35cff0,oui,2,1.00
pisc_62e59b4094e9,non,2,1.00
pisc_6307fe6b47bb,non,2,1.00
pisc_63f2423dd7b5,non,2,1.00
pisc_6421350510e1,oui,2,1.00
pisc_6492b0f3434f,non,2,1.00
pisc_64e9985fb799,oui,2,1.00
pisc_65046fca211a,oui,2,1.00
pisc_654127ed2a55,non,2,1.00
pisc_654520bf7ef8,non,2,1.00
pisc_656399d343f1,non,2,1.00
pisc_666edae39ee6,non,2,1.00
pisc_6679901db7d8,non,2,1.00
pisc_66c56215cbec,non,2,1.00
pisc_66c9ee99097b,oui,2,1.00
pisc_671f50d59892,oui,2,1.00
pisc_678b9d4bd2e4,non,2,1.00
pisc_679e36e93d31,non,2,1.00
pisc_67b984778373,non,2,1.00
pisc_688c4ace6f9a,non,2,1.00
pisc_68c05a619dc6,oui,2,1.00
pisc_68cd4bb9f2bc,non,2,1.00
pisc_68f61616a334,non,2,1.00
pisc_697e6f0a310f,oui,2,1.00
pisc_69b805201ec4,incertain,2,0.50
pisc_69ff845c8ada,incertain,2,0.50
pisc_6a01c1821968,non,2,1.00
pisc_6a2701f7f2c5,oui,2,1.00
pisc_6c375342ace3,oui,2,1.00
pisc_6c483d8f582e,non,2,1.00
pisc_6c9b98018b53,non,2,1.00
pisc_6cddd5846e48,oui,2,1.00
pisc_6cebc9831ec2,oui,2,1.00
pisc_6d1bad918c93,non,2,1.00
pisc_6d8ee4b15116,non,2,1.00
pisc_6d9e566fc261,non,2,1.00
pisc_6e3e92924904,non,2,1.00
pisc_6e6971008234,non,2,1.00
pisc_6ea04db1e0dd,non,2,1.00
pisc_6ead75435260,non,2,1.00
pisc_6f3adda0da33,non,2,1.00
pisc_6f4a1d3e0154,oui,2,1.00
pisc_6f4aed042766,non,2,1.00
pisc_7094050b42a5,non,2,1.00
pisc_709aee4c54e3,non,2,1.00
pisc_70b1bb9070d3,oui,2,1.00
pisc_70ccdfb9c6f9,non,2,1.00
pisc_712b2319fd3d,non,2,1.00
pisc_71e983a85bcf,oui,2,1.00
pisc_726fefd5f485,non,2,1.00
pisc_72d340e49368,oui,2,1.00
pisc_72e452066361,oui,2,1.00
pisc_72f3ba161082,non,2,1.00
pisc_72fda5241638,non,2,1.00
pisc_731ebc40eaeb,non,2,1.00
pisc_7345a76dd246,non,2,1.00
pisc_736fc5c2cee1,non,2,1.00
pisc_73a9d7618d92,non,2,1.00
pisc_73feb626f43d,oui,2,1.00
pisc_74039090a997,non,2,1.00
pisc_745ee694d101,oui,2,1.00
pisc_74709f95b8cd,oui,2,1.00
pisc_74bb8a3b8d54,non,2,1.00
pisc_74f204faf94e,non,2,1.00
pisc_750474c74415,non,2,1.00
pisc_754c62eb0c58,non,2,1.00
pisc_75738e6fb90c,non,2,1.00
pisc_75d4d06ca6a2,non,2,1.00
pisc_7705ab4ff991,non,2,1.00
pisc_7746baeb25c3,oui,2,1.00
pisc_776129e1976b,non,2,1.00
pisc_7763a6fa82f8,non,2,1.00
pisc_776c10d7e54c,non,2,1.00
pisc_77beef78879d,non,2,1.00
pisc_77cbf6658f5c,non,2,1.00
pisc_77d197136837,non,2,1.00
pisc_77f6388799a5,non,2,1.00
pisc_7804cdc2ae74,oui,2,1.00
pisc_7808e908cb53,oui,2,1.00
pisc_780dc66ceee9,non,2,1.00
pisc_7830512f1d6a,non,2,1.00
pisc_79192e8c93c3,non,2,1.00
pisc_79db50988e12,oui,2,1.00
pisc_79dc80981686,non,2,1.00
pisc_79e876448eca,non,2,1.00
pisc_7a1b88824a67,non,2,1.00
pisc_7a633c446e61,oui,2,1.00
pisc_7a63cf817816,non,2,1.00
pisc_7a84b078f544,non,2,1.00
pisc_7b109fa858d0,non,2,1.00
pisc_7b484fd50ae6,non,2,1.00
pisc_7b9bfdccb639,non,2,1.00
pisc_7c1c0d588e2a,non,2,1.00
pisc_7c2fb186c1b4,non,2,1.00
pisc_7c606e91c9af,non,2,1.00
pisc_7ce82006d163,non,2,1.00
pisc_7d049cd99e16,non,2,1.00
pisc_7dbeeefc6f61,non,2,1.00
pisc_7e19e42e690c,non,2,1.00
pisc_7ea7092c8543,non,2,1.00
pisc_7eeedd08e3cf,non,2,1.00
pisc_7f715c856b1d,non,2,1.00
pisc_7fb65783a753,oui,2,1.00
pisc_7fe52bd2ba7d,oui,2,1.00
pisc_8172dc5f7018,oui,2,1.00
pisc_81a00b1abfaf,non,2,1.00
pisc_81f1fe58bca0,oui,2,1.00
pisc_81f2b68ab26e,oui,2,1.00
pisc_825ba4aea06f,non,2,1.00
pisc_828487288aa0,non,2,1.00
pisc_82d8d3c37bd0,oui,2,1.00
pisc_82ea6e68b62b,non,2,1.00
pisc_8374c53a39a6,non,2,1.00
pisc_8391483016a7,non,2,1.00
pisc_83c27b4818ab,non,2,1.00
pisc_83d374ba6003,non,2,1.00
pisc_83e7225ab645,non,2,1.00
pisc_83fd044c2b80,non,2,1.00
pisc_8485cbbe0319,non,2,1.00
pisc_84ead75966bd,non,2,1.00
pisc_8508211b9f17,non,2,1.00
pisc_850b34a6adfd,oui,2,1.00
pisc_850ecb159ebe,non,2,1.00
pisc_851dbc64c75a,non,2,1.00
pisc_8615d5ab4506,non,2,1.00
pisc_86229042a6ea,non,2,1.00
pisc_86430464239e,oui,2,1.00
pisc_873887c4a36b,non,2,1.00
pisc_873a76c609aa,non,2,1.00
pisc_87739c1b2e10,non,2,1.00
pisc_886c9f6155d6,non,2,1.00
pisc_8880fc72200d,non,2,1.00
pisc_88b73bdf0901,non,2,1.00
pisc_88c04d681790,non,2,1.00
pisc_8962b41bdca3,oui,2,1.00
pisc_89f887c39e13,oui,2,1.00
pisc_8accfb470c4f,oui,2,1.00
pisc_8af536e43d55,oui,2,1.00
pisc_8b138b084ed9,non,2,1.00
pisc_8b230d6155c3,non,2,1.00
pisc_8b2e16d52259,non,2,1.00
pisc_8b3d96bee520,non,2,1.00
pisc_8b5c75006038,non,2,1.00
pisc_8b77bfa0b3af,non,2,1.00
pisc_8bdbe118eda4,non,2,1.00
pisc_8bef9e09bd96,oui,2,1.00
pisc_8c40678dab1b,oui,2,1.00
pisc_8c4c0725e666,oui,2,1.00
pisc_8c7aa46424e0,oui,2,1.00
pisc_8ca690a5ac1f,oui,2,1.00
pisc_8d066b778ccb,non,2,1.00
pisc_8d31b8d066af,oui,2,1.00
pisc_8d72669d3999,non,2,1.00
pisc_8d78227af7fb,non,2,1.00
pisc_8dd9a6406620,non,2,1.00
pisc_8ddd7854f021,non,2,1.00
pisc_8df9aa824822,non,2,1.00
pisc_8e1f7ddca9f8,non,2,1.00
pisc_8e69c295dff2,non,2,1.00
pisc_8ea096e31ec2,non,2,1.00
pisc_8fb9a64a79b0,non,2,1.00
pisc_8fd6bdcb4fac,non,2,1.00
pisc_90ac04aadb07,oui,2,1.00
pisc_90e82f5902fd,oui,2,1.00
pisc_910e03019bf8,non,2,1.00
pisc_917755f9c960,oui,2,1.00
pisc_924c1b32f408,non,2,1.00
pisc_92675f7e514d,non,2,1.00
pisc_9291b0c0e12f,oui,2,1.00
pisc_92b33c19ade6,oui,2,1.00
pisc_9316f7dad9b4,oui,2,1.00
pisc_931735349d5f,non,2,1.00
pisc_9317cbd306ae,non,2,1.00
pisc_9346e5834bd7,non,2,1.00
pisc_934e56a8f1a4,non,2,1.00
pisc_9351059bf5ee,non,2,1.00
pisc_935a82b54d43,non,2,1.00
pisc_936fc22fb16a,oui,2,1.00
pisc_937484e62c91,non,2,1.00
pisc_93b2f0d777f5,non,2,1.00
pisc_93c118bcf3c2,non,2,1.00
pisc_941fa2dd604d,non,2,1.00
pisc_944b680df418,non,2,1.00
pisc_94a15f17d088,oui,2,1.00
pisc_94e9a3cf9123,non,2,1.00
pisc_950482a609cc,non,2,1.00
pisc_951bc0bce56c,oui,2,1.00
pisc_95bf114ca41d,non,2,1.00
pisc_96394c4e16cc,non,2,1.00
pisc_964813b66ec0,oui,2,1.00
pisc_965ed268e553,oui,2,1.00
pisc_96749ab09b42,non,2,1.00
pisc_9696438df148,non,2,1.00
pisc_96e5aa865749,non,2,1.00
pisc_97156807d382,non,2,1.00
pisc_974bac925797,non,2,1.00
pisc_97c81fee0a23,non,2,1.00
pisc_97cab1466c5a,oui,2,1.00
pisc_97d62c954c09,non,2,1.00
pisc_97d7dfc1d7e4,non,2,1.00
pisc_97e16cbd7a9e,non,2,1.00
pisc_97e24bc03840,non,2,1.00
pisc_97e32d976a14,oui,2,1.00
pisc_97fa6c497948,non,2,1.00
pisc_98189576f580,non,2,1.00
pisc_982ef16d7eab,non,2,1.00
pisc_988dac7862ed,non,2,1.00
pisc_98defba6f8ae,non,2,1.00
pisc_9935ee253eeb,non,2,1.00
pisc_99fcfa0b057b,non,2,1.00
pisc_9a0dc38354af,oui,2,1.00
pisc_9a428b69276d,non,2,1.00
pisc_9a5e74c03efa,oui,2,1.00
pisc_9a775741732e,non,2,1.00
pisc_9b4a0ef34784,non,2,1.00
pisc_9b4bbf675fbc,non,2,1.00
pisc_9b5c0214459e,non,2,1.00
pisc_9b8b8b20a2ff,non,2,1.00
pisc_9b9ad89af0b1,non,2,1.00
pisc_9c796c02c017,non,2,1.00
pisc_9d024cadada7,non,2,1.00
pisc_9d3997204e82,non,2,1.00
pisc_9d5e03ff4b6a,non,2,1.00
pisc_9d976f8328fc,incertain,2,0.50
pisc_9e012437a7a7,non,2,1.00
pisc_9e68b012af95,oui,2,1.00
pisc_9e80c4d74272,non,2,1.00
pisc_9ec72b2f539f,oui,2,1.00
pisc_9ecbd736780b,non,2,1.00
pisc_9ed814c71bfd,non,2,1.00
pisc_9f2fa4c27960,oui,2,1.00
pisc_9f324bfaa06c,oui,2,1.00
pisc_9f571cda6ef8,non,2,1.00
pisc_9f6ef759e2b3,non,2,1.00
pisc_9fa457e62252,non,2,1.00
pisc_9fc99fbf52d6,non,2,1.00
pisc_a066675308f0,oui,2,1.00
pisc_a0df692aadce,non,2,1.00
pisc_a132c56cc466,oui,2,1.00
pisc_a21023761c91,oui,2,1.00
pisc_a22ddca155ee,non,2,1.00
pisc_a23c9de39b8d,non,2,1.00
pisc_a2744ceaed6f,non,2,1.00
pisc_a275abf89789,oui,2,1.00
pisc_a2e699350e04,non,2,1.00
pisc_a32497893569,non,2,1.00
pisc_a3c82730ba93,oui,2,1.00
pisc_a3c99f2beea7,non,2,1.00
pisc_a4a8deaff13a,non,2,1.00
pisc_a4c406a06742,non,2,1.00
pisc_a52206552ccf,non,2,1.00
pisc_a52bb9f411ca,non,2,1.00
pisc_a553c707d0af,non,2,1.00
pisc_a576af759534,non,2,1.00
pisc_a57ad94b66c8,non,2,1.00
pisc_a57b06ba3343,non,2,1.00
pisc_a581ff1afc92,non,2,1.00
pisc_a587b03b620e,non,2,1.00
pisc_a589288b2ffd,non,2,1.00
pisc_a5c45c6d173e,oui,2,1.00
pisc_a60f550f1f95,non,2,1.00
pisc_a6ebb337c43c,non,2,1.00
pisc_a7019c3cec97,non,2,1.00
pisc_a75d17cbf831,non,2,1.00
pisc_a7c7f52a3b19,non,2,1.00
pisc_a7d4793a7714,non,2,1.00
